,iteration,elapsed,num_inserts,type,ops/sec,disk_total,disk_free,disk_used,disk_free -h,disk_percent_free,disk_percent_used,index_size_before
0,0,0.6651314669998101,100000,ingest,150346.21719382366,20617822208,8722362368,11878682624,8.1 GiB,0.4230496451082793,0.5761366309285035,9000000
1,1,0.6743337789998805,100000,ingest,148294.51395466537,20617822208,8683728896,11917316096,8.1 GiB,0.421175854966418,0.5780104210703648,9100000
2,2,0.5701329889998306,100000,ingest,175397.67375227207,20617822208,8666656768,11934388224,8.1 GiB,0.4203478272616599,0.5788384487751229,9200000
3,3,0.6418911779996961,100000,ingest,155789.64694860994,20617822208,8649506816,11951538176,8.1 GiB,0.4195160249584397,0.5796702510783431,9300000
4,4,0.6500830909999422,100000,ingest,153826.48985098567,20617822208,8632434688,11968610304,8.0 GiB,0.4186879972536816,0.5804982787831012,9400000
5,5,0.6697323029998188,100000,ingest,149313.3891736846,20617822208,8615350272,11985694720,8.0 GiB,0.4178593735596927,0.5813269024770902,9500000
6,6,0.7000255469997683,100000,ingest,142851.92937399054,20617822208,8587489280,12013555712,8.0 GiB,0.4165080673102291,0.5826782087265537,9600000
7,7,0.6632288030000382,100000,ingest,150777.52888243343,20617822208,8559239168,12041805824,8.0 GiB,0.41513788806845453,0.5840483879683284,9700000
8,8,0.6530090390001533,100000,ingest,153137.2370482249,20617822208,8542167040,12058877952,8.0 GiB,0.4143098603636965,0.5848764156730863,9800000
9,9,0.5557237330003773,100000,ingest,179945.52699791233,20617822208,8523956224,12077088768,7.9 GiB,0.4134266043235443,0.5857596717132386,9900000
10,10,0.6360181009999906,100000,ingest,157228.22957833,20617822208,8506875904,12094169088,7.9 GiB,0.4125981792926323,0.5865880967441506,10000000
11,11,0.6677468529996986,100000,ingest,149757.35123388915,20617822208,8469303296,12131741696,7.9 GiB,0.4107758428877029,0.5884104331490799,10100000
12,12,0.6529353810001339,100000,ingest,153154.51254429645,20617822208,8452231168,12148813824,7.9 GiB,0.4099478151829449,0.589238460853838,10200000
13,13,0.64926283900013,100000,ingest,154020.82791924576,20617822208,8435154944,12165890048,7.9 GiB,0.40911958881510985,0.590066687221673,10300000
14,14,0.6404450909999468,100000,ingest,156141.4107240121,20617822208,8418078720,12182966272,7.8 GiB,0.4082913624472748,0.5908949135895081,10400000
15,15,0.680822973999966,100000,ingest,146881.059862714,20617822208,8393482240,12207562752,7.8 GiB,0.4070983906701462,0.5920878853666367,10500000
16,16,0.676348646000406,100000,ingest,147852.7392511997,20617822208,8364843008,12236201984,7.8 GiB,0.40570933843606066,0.5934769376007222,10600000
17,17,0.6601414110000405,100000,ingest,151482.69497062935,20617822208,8338984960,12262060032,7.8 GiB,0.4044551784312292,0.5947310976055536,10700000
18,18,0.5566910500001541,100000,ingest,179632.85021372684,20617822208,8321912832,12279132160,7.8 GiB,0.40362715072647115,0.5955591253103117,10800000
19,19,0.6639980869999818,100000,ingest,150602.84352897955,20617822208,8304832512,12296212480,7.7 GiB,0.4027987256955592,0.5963875503412237,10900000
20,20,0.656307145000028,100000,ingest,152367.68449320438,20617822208,8267878400,12333166592,7.7 GiB,0.40100638741525035,0.5981798886215325,11000000
21,21,0.6595669610001096,100000,ingest,151614.62885946978,20617822208,8250806272,12350238720,7.7 GiB,0.40017835971049226,0.5990079163262906,11100000
22,22,0.6459796999997707,100000,ingest,154803.6261821161,20617822208,8233730048,12367314944,7.7 GiB,0.39935013334265723,0.5998361426941257,11200000
23,23,0.6516938969998591,100000,ingest,153446.273565489,20617822208,8217579520,12383465472,7.7 GiB,0.39856680483021456,0.6006194712065682,11300000
24,24,0.676547828999901,100000,ingest,147809.20980534938,20617822208,8197464064,12403580928,7.6 GiB,0.3975911704592772,0.6015951055775056,11400000
25,25,0.6748139900000751,100000,ingest,148188.98464151414,20617822208,8171872256,12429172736,7.6 GiB,0.396349923554448,0.6028363524823349,11500000
26,26,0.7110104759999558,100000,ingest,140644.90380308576,20617822208,8146374656,12454670336,7.6 GiB,0.39511324590038877,0.6040730301363941,11600000
27,27,0.6947875230002865,100000,ingest,143928.8943592022,20617822208,8121962496,12479082496,7.6 GiB,0.3939292139617232,0.6052570620750597,11700000
28,28,0.7084131860001435,100000,ingest,141160.55711021132,20617822208,8097087488,12503957504,7.5 GiB,0.39272273309536143,0.6064635429414215,11800000
29,29,0.5909854209999139,100000,ingest,169208.911838816,20617822208,8055267328,12545777664,7.5 GiB,0.39069438307962734,0.6084918929571556,11900000
30,30,0.6569606440002644,100000,ingest,152216.11966143857,20617822208,8033497088,12567547904,7.5 GiB,0.38963848882559926,0.6095477872111836,12000000
31,31,0.6571642750000137,100000,ingest,152168.95349339844,20617822208,8016191488,12584853504,7.5 GiB,0.3887991373254546,0.6103871387113282,12100000
32,32,0.6390665479998461,100000,ingest,156478.22642724853,20617822208,7997890560,12603154432,7.4 GiB,0.3879115106976094,0.6112747653391735,12200000
33,33,0.6428291790002731,100000,ingest,155562.3224128062,20617822208,7980810240,12620234752,7.4 GiB,0.3870830856666974,0.6121031903700854,12300000
34,34,0.6918035250000685,100000,ingest,144549.7115672981,20617822208,7952203776,12648841216,7.4 GiB,0.3856956227372276,0.6134906532995553,12400000
35,35,0.6732835459997659,100000,ingest,148525.8337206339,20617822208,7924031488,12677013504,7.4 GiB,0.3843292180939152,0.6148570579428677,12500000
36,36,0.6619893930001126,100000,ingest,151059.82219262383,20617822208,7906881536,12694163456,7.4 GiB,0.38349741579069496,0.6156888602460879,12600000
37,37,0.5866328929996598,100000,ingest,170464.35887470428,20617822208,7889809408,12711235584,7.3 GiB,0.38266938808593687,0.616516887950846,12700000
38,38,0.6476236579997021,100000,ingest,154410.66546096746,20617822208,7872729088,12728315904,7.3 GiB,0.3818409630550249,0.617345312981758,12800000
39,39,0.6790084229996864,100000,ingest,147273.57807761125,20617822208,7836200960,12764844032,7.3 GiB,0.38006928573471965,0.6191169903020632,12900000
40,40,0.6447251309996318,100000,ingest,155104.8581663821,20617822208,7817785344,12783259648,7.3 GiB,0.3791760965407196,0.6200101794960633,13000000
41,41,0.6484960070001762,100000,ingest,154202.95409771556,20617822208,7799803904,12801241088,7.3 GiB,0.378303965632877,0.6208823104039058,13100000
42,42,0.654059099999813,100000,ingest,152891.38244545268,20617822208,7782727680,12818317312,7.2 GiB,0.37747573926504197,0.6217105367717409,13200000
43,43,0.6599329369996667,100000,ingest,151530.54862611063,20617822208,7758307328,12842737664,7.2 GiB,0.3762913100002225,0.6228949660365604,13300000
44,44,0.674663967000015,100000,ingest,148221.93698095897,20617822208,7729664000,12871380992,7.2 GiB,0.37490205910306007,0.6242842169337228,13400000
45,45,0.6675922399999763,100000,ingest,149792.03473066667,20617822208,7704870912,12896174080,7.2 GiB,0.37369955149823747,0.6254867245385454,13500000
46,46,0.6543133579998539,100000,ingest,152831.9707634982,20617822208,7688773632,12912271360,7.2 GiB,0.37291880560579527,0.6262674704309876,13600000
47,47,0.666210613000203,100000,ingest,150102.68231792568,20617822208,7671697408,12929347584,7.1 GiB,0.37209057923796024,0.6270956967988226,13700000
48,48,0.6626690789998975,100000,ingest,150904.88325020438,20617822208,7633043456,12968001536,7.1 GiB,0.3702157957807141,0.6289704802560687,13800000
49,49,0.5474827760003791,100000,ingest,182654.1480090887,20617822208,7615700992,12985344000,7.1 GiB,0.36937465631287686,0.629811619723906,13900000
50,50,0.7410347330001059,100000,ingest,134946.44116767155,20617822208,7598624768,13002420224,7.1 GiB,0.36854642994504183,0.6306398460917411,14000000
51,51,0.5573169939998479,100000,ingest,179431.0976995388,20617822208,7581552640,13019492352,7.1 GiB,0.3677184022402838,0.631467873796499,14100000
52,52,0.6453100190001351,100000,ingest,154964.27617061228,20617822208,7564468224,13036576768,7.0 GiB,0.36688977854629484,0.632296497490488,14200000
53,53,0.6796568009999646,100000,ingest,147133.08224514508,20617822208,7540056064,13060988928,7.0 GiB,0.3657057466076293,0.6334805294291536,14300000
54,54,0.6575506909998694,100000,ingest,152079.52994154766,20617822208,7515533312,13085511680,7.0 GiB,0.3645163507658859,0.6346699252708969,14400000
55,55,0.6628956340000514,100000,ingest,150853.30913492222,20617822208,7492087808,13108957184,7.0 GiB,0.36337920331338225,0.6358070727234006,14500000
56,56,0.6541671429999951,100000,ingest,152866.13072830645,20617822208,7464927232,13136117760,7.0 GiB,0.3620618684500784,0.6371244075867045,14600000
57,57,0.6724396280001201,100000,ingest,148712.23502607454,20617822208,7446491136,13154553856,6.9 GiB,0.3611676859406935,0.6380185900960894,14700000
58,58,0.6672018460003528,100000,ingest,149879.68123809286,20617822208,7408910336,13192134656,6.9 GiB,0.3593449522096102,0.6398413238271726,14800000
59,59,0.6591451069998584,100000,ingest,151711.66248226658,20617822208,7391838208,13209206784,6.9 GiB,0.3585169245048522,0.6406693515319307,14900000
60,60,0.5434494169999198,100000,ingest,184009.76589880997,20617822208,7374761984,13226283008,6.9 GiB,0.35768869813701715,0.6414975778997657,15000000
61,61,0.6506421190001674,100000,ingest,153694.32300765987,20617822208,7358664704,13242380288,6.9 GiB,0.3569079522445749,0.642278323792208,15100000
62,62,0.6767227660002391,100000,ingest,147771.0002148275,20617822208,7338369024,13262675968,6.8 GiB,0.3559235766982514,0.6432626993385314,15200000
63,63,0.7012965809999514,100000,ingest,142593.023706766,20617822208,7317069824,13283975168,6.8 GiB,0.35489052869807347,0.6442957473387094,15300000
64,64,0.6916963710000346,100000,ingest,144572.1044559232,20617822208,7293132800,13307912192,6.8 GiB,0.3537295416763349,0.6454567343604479,15400000
65,65,0.676464219999616,100000,ingest,147827.47859163454,20617822208,7269765120,13331279872,6.8 GiB,0.3525961688222935,0.6465901072144894,15500000
66,66,0.6916821350000646,100000,ingest,144575.07999681192,20617822208,7248187392,13352857600,6.8 GiB,0.3515496117328824,0.6476366643039004,15600000
67,67,0.7654141419998268,100000,ingest,130648.22625138095,20617822208,7203315712,13397729280,6.7 GiB,0.3493732577248151,0.6498130183119678,15700000
68,68,0.6923113789998752,100000,ingest,144443.6752498012,20617822208,7183396864,13417648128,6.7 GiB,0.34840715918157167,0.6507791168552112,15800000
69,69,0.5889654229999906,100000,ingest,169789.25433454794,20617822208,7159963648,13441081344,6.7 GiB,0.34727060771829893,0.6519156683184839,15900000
70,70,0.6922419479997188,100000,ingest,144458.16276947234,20617822208,7138234368,13462810624,6.6 GiB,0.3462167000950404,0.6529695759417424,16000000
71,71,0.6733792529998937,100000,ingest,148504.72383059267,20617822208,7115878400,13485166592,6.6 GiB,0.34513239702100745,0.6540538790157754,16100000
72,72,0.733328290999907,100000,ingest,136364.57399406764,20617822208,7080857600,13520187392,6.6 GiB,0.34343382771302244,0.6557524483237605,16200000
73,73,0.6768460369999048,100000,ingest,147744.08733077074,20617822208,7044263936,13556781056,6.6 GiB,0.34165897178348587,0.657527304253297,16300000
74,74,0.6629659459999857,100000,ingest,150837.31012633664,20617822208,7021596672,13579448320,6.5 GiB,0.34055957031560413,0.6586267057211788,16400000
75,75,0.6835160099999484,100000,ingest,146302.35215705854,20617822208,6998196224,13602848768,6.5 GiB,0.339424608156947,0.6597616678798358,16500000
76,76,0.676994625000134,100000,ingest,147711.66019225074,20617822208,6973775872,13627269120,6.5 GiB,0.33824017889212754,0.6609460971446554,16600000
77,77,0.666641602999789,100000,ingest,150005.6395370687,20617822208,6934691840,13666353152,6.5 GiB,0.3363445358118009,0.662841740224982,16700000
78,78,0.6601795510000557,100000,ingest,151473.94348782484,20617822208,6918529024,13682515968,6.4 GiB,0.3355606113101274,0.6636256647266555,16800000
79,79,0.6621253369999067,100000,ingest,151028.80740540833,20617822208,6900289536,13700755456,6.4 GiB,0.33467596462843646,0.6645103114083464,16900000
