filename,filesize,lines,start,end
./measurements_cmdline_ingest.csv,55091,624,00:45:26.262000685,00:45:26.292456007
./aws-open-data/safecast-opendata-public-us-east-1.csv,74074,494,00:45:26.305381287,00:45:26.332852146
./aws-open-data/lofar-elais-n1.csv,3036783,21149,00:45:26.350052444,00:45:26.410045302
./aws-open-data/broad-references.csv,43179,262,00:45:26.416523160,00:45:26.442228017
./aws-open-data/noaa-cdr-microwave-imager-brit-temp-rss-pds.csv,79616699,411122,00:45:26.696509159,00:45:27.052412068
./aws-open-data/mur-sst.csv,97748394,828977,00:45:27.369506289,00:45:27.867040773
./aws-open-data/pacific-sound-256khz-2017.csv,7347940,52107,00:45:27.899275414,00:45:27.991013630
./aws-open-data/noaa-cdr-precip-gpcp-monthly-pds.csv,89141,540,00:45:27.997462874,00:45:28.023103761
./aws-open-data/molssi-bioexcel-covid-19-structure-therapeutics-hub.csv,58487,306,00:45:28.029424516,00:45:28.055005010
./aws-open-data/openalex-mag-format.csv,9245,56,00:45:28.060273565,00:45:28.085572643
./aws-open-data/gdc-hcmi-cmdc-phs001486-2-open.csv,624099,2937,00:45:28.093368848,00:45:28.126608179
./aws-open-data/answer-reformulation-pds.csv,258,2,00:45:28.132153373,00:45:28.157025802
./aws-open-data/sra-pub-src-1.csv,46263002,268784,00:45:28.315068224,00:45:28.576615166
./aws-open-data/ibl-brain-wide-map-public.csv,5170304,22938,00:45:28.598875197,00:45:28.661075857
./aws-open-data/noaa-nclimgrid-daily-pds.csv,6019639,39285,00:45:28.686457810,00:45:28.757120481
./aws-open-data/sevir.csv,21328,143,00:45:28.763537846,00:45:28.788145590
./aws-open-data/noaa-nws-uwpd-cmip5-pds.csv,21662588,141027,00:45:28.865094609,00:45:29.036983065
./aws-open-data/deafrica-services-inventory.csv,914291,4565,00:45:29.046863378,00:45:29.079481167
./aws-open-data/noaa-cdr-cloud-properties-polar-orbiter-nasa-pds.csv,2552,15,00:45:29.085215074,00:45:29.110521916
./aws-open-data/noaa-ufs-srw-pds.csv,120538,825,00:45:29.116728216,00:45:29.143186964
./aws-open-data/web-language-models.csv,1693088,11948,00:45:29.154105530,00:45:29.193936001
./aws-open-data/noaa-cdr-ir-water-vapor-brit-temp-pds.csv,11136,57,00:45:29.199455888,00:45:29.224375015
./aws-open-data/terrafusiondatasampler.csv,841284,5058,00:45:29.233616824,00:45:29.277571341
./aws-open-data/landsat-pds.csv,210,2,00:45:29.283175605,00:45:29.307066719
./aws-open-data/pansurg-curation-workflo-kendraqueryresults50d0eb-open-data.csv,2202992,8251,00:45:29.321340230,00:45:29.359749624
./aws-open-data/amazon-pqa.csv,13024,102,00:45:29.364862759,00:45:29.389173818
./aws-open-data/pacific-sound-256khz-2016.csv,6995035,49567,00:45:29.416042242,00:45:29.502125510
./aws-open-data/omi-no2-nasa.csv,853849,5693,00:45:29.514160595,00:45:29.546367766
./aws-open-data/noaa-cdr-snow-cover-ext-north-pds.csv,2456,16,00:45:29.551547496,00:45:29.593853759
./aws-open-data/sondehub-history.csv,109573453,849773,00:45:29.949002326,00:45:30.490038733
./aws-open-data/gdc-nciccr-phs001444-2-open.csv,497693,2407,00:45:30.499630527,00:45:30.528442536
./aws-open-data/human-microbiome-project.csv,13929698,85375,00:45:30.657110891,00:45:30.778624020
./aws-open-data/noaa-nclimgrid-monthly-pds.csv,638,5,00:45:30.784739771,00:45:30.810033950
./aws-open-data/cbers-meta-pds.csv,229891406,1226157,00:45:31.549367164,00:45:32.275727802
./aws-open-data/gatk-sv-data-us-east-2.csv,1508590,6998,00:45:32.288182913,00:45:32.322883429
./aws-open-data/ltrf-cqa-dataset.csv,228,2,00:45:32.328318026,00:45:32.353405378
./aws-open-data/deafrica-input-datasets-inventory.csv,555275,2657,00:45:32.363656526,00:45:32.392237493
./aws-open-data/covers-song-br.csv,13030641,102299,00:45:32.440831110,00:45:32.579096181
./aws-open-data/cse-cic-ids2018.csv,7139,42,00:45:32.585015945,00:45:32.609141849
./aws-open-data/inlab-opendata-covid-anonymized-images.csv,488644,2771,00:45:32.617418613,00:45:32.645242865
./aws-open-data/oicr.icgc.meta.csv,5800986,41314,00:45:32.673263305,00:45:32.753381837
./aws-open-data/tcga-2-open.csv,237589251,1360150,00:45:33.532940278,00:45:34.632531541
./aws-open-data/covid19-harmonized-dataset.csv,762420,4712,00:45:34.642352163,00:45:34.674019706
./aws-open-data/tiger-training.csv,1255279,5633,00:45:34.684118217,00:45:34.717415219
./aws-open-data/noaa-cdr-cloud-properties-isccp-pds.csv,64535117,305431,00:45:34.929020355,00:45:35.179826828
./aws-open-data/gbif-open-data-af-south-1.csv,2210295,13817,00:45:35.193503764,00:45:35.235267716
./aws-open-data/ncar-na-cordex.csv,57213915,373052,00:45:35.524105751,00:45:35.798440843
./aws-open-data/sra-pub-sars-cov2-metadata-us-east-1.csv,149374,848,00:45:35.805498456,00:45:35.831415962
./aws-open-data/lowcontext-ner-gaz.csv,807,7,00:45:35.836762003,00:45:35.860412118
./aws-open-data/qiime2-data.csv,339834,2360,00:45:35.868362912,00:45:35.898271264
./aws-open-data/gdc-ctsp-phs001175-2-open.csv,53818,273,00:45:35.904122570,00:45:35.937588277
./aws-open-data/ocmr.csv,32388,289,00:45:35.943645278,00:45:35.968058591
./aws-open-data/nrel-pds-wtk.csv,75182669,536347,00:45:36.200003521,00:45:36.554510761
./aws-open-data/pyfr-mtu-t161-dns-data.csv,16572,116,00:45:36.561384110,00:45:36.588089450
./aws-open-data/aws-roda-ml-datalake.csv,10130173,61507,00:45:36.625341531,00:45:36.727690254
./aws-open-data/deafrica-sentinel-1-inventory.csv,676684,3343,00:45:36.748279052,00:45:36.778250993
./aws-open-data/deafrica-sentinel-2-inventory.csv,63406638,301950,00:45:36.968002238,00:45:37.257863721
./aws-open-data/noaa-cdr-precip-cmorph-pds.csv,76466822,429541,00:45:37.505329080,00:45:37.812659844
./aws-open-data/noaa-ufs-regtests-pds.csv,5535140,32743,00:45:37.835865327,00:45:37.901380714
./aws-open-data/code-mixed-ner.csv,5058,38,00:45:37.907334843,00:45:37.931635254
./aws-open-data/pacific-sound-256khz-2015.csv,2956717,20975,00:45:37.946955325,00:45:37.999501068
./aws-open-data/datasets.elasticmapreduce.csv,24593,172,00:45:38.006928903,00:45:38.031152180
./aws-open-data/czb-opencell.csv,2461558,12603,00:45:38.045392201,00:45:38.086743161
./aws-open-data/civic-aws-opendata.csv,5932,38,00:45:38.092044108,00:45:38.141755549
./aws-open-data/aws-open-data-uniprot-rdf.csv,559069,3163,00:45:38.150606026,00:45:38.179697510
./aws-open-data/gatk-sv-data-us-east-1.csv,1508590,6998,00:45:38.191603726,00:45:38.223783106
./aws-open-data/gdc-beataml1-cohort-phs001657-2-open.csv,550290,2550,00:45:38.233757097,00:45:38.261796984
./aws-open-data/noaa-ufs-prototypes-pds.csv,139571411,768998,00:45:38.707321686,00:45:39.203739161
./aws-open-data/arpa-e-perform.csv,4537081,23572,00:45:39.229061986,00:45:39.290017843
./aws-open-data/gdc-ccle-2-open.csv,1108318,6365,00:45:39.309520900,00:45:39.344527650
./aws-open-data/pacific-sound-256khz-2021.csv,7089611,50281,00:45:39.384777852,00:45:39.473336218
./aws-open-data/human-pangenomics.csv,42773736,177795,00:45:39.662058583,00:45:39.885486527
./aws-open-data/noaa-normals-pds.csv,21675509,148921,00:45:39.959504822,00:45:40.141671955
./aws-open-data/ford-multi-av-seasonal.csv,44246,278,00:45:40.147919995,00:45:40.173475524
./aws-open-data/pacific-sound-256khz-2018.csv,7312747,51786,00:45:40.201431315,00:45:40.290639288
./aws-open-data/noaa-cdr-precip-persiann-pds.csv,2321348,14248,00:45:40.303859040,00:45:40.346042096
./aws-open-data/noaa-eri-pds.csv,27494541,178168,00:45:40.462221819,00:45:40.653581370
./aws-open-data/intelinair-data-releases.csv,9435948,51546,00:45:40.693355230,00:45:40.785920464
./aws-open-data/gdelt-open-data.csv,57666873,432832,00:45:41.011194674,00:45:41.332330506
./aws-open-data/ai2-public-datasets.csv,10753,77,00:45:41.338773140,00:45:41.364162188
./aws-open-data/gdc-cptac-phs001287-2-open.csv,3684151,17354,00:45:41.382191218,00:45:41.439635897
./aws-open-data/stoic2021-training.csv,247589,2003,00:45:41.447033116,00:45:41.474625667
./aws-open-data/fashionlocaltriplets.csv,495875,4246,00:45:41.483296629,00:45:41.512335456
./aws-open-data/noaa-swdi-pds.csv,57788,506,00:45:41.518247877,00:45:41.544125209
./aws-open-data/daylight-openstreetmap.csv,199754,900,00:45:41.550383428,00:45:41.577088158
./aws-open-data/archive-orcasound-net.csv,422299,2442,00:45:41.584931372,00:45:41.611899144
./aws-open-data/srsp-open-data.csv,7193104,45085,00:45:41.640782460,00:45:41.721979176
./aws-open-data/4dn-open-data-public.csv,9481566,50015,00:45:41.762266637,00:45:41.868611862
./aws-open-data/napierone.com.csv,101300,729,00:45:41.875386295,00:45:41.900845525
./aws-open-data/fmi-opendata-silam-surface-netcdf.csv,218202,1281,00:45:41.906904651,00:45:41.934517090
./aws-open-data/amazon-berkeley-objects.csv,194739130,1391747,00:45:42.548380002,00:45:43.299035706
./aws-open-data/bdc-cbers.csv,14337550,89577,00:45:43.350384021,00:45:43.487969253
./aws-open-data/opencitymodel.csv,11031871,57635,00:45:43.548680435,00:45:43.657672755
./aws-open-data/dmspssj.csv,786688,4318,00:45:43.666479790,00:45:43.698628146
./aws-open-data/pacific-sound-models.csv,1274,8,00:45:43.704327859,00:45:43.732138238
./aws-open-data/sentinel-1-global-coherence-earthbigdata.csv,173222636,1034377,00:45:44.298669409,00:45:44.884591500
./aws-open-data/rapid-nrt-flood-maps.csv,60913868,332676,00:45:45.083681601,00:45:45.364914042
./aws-open-data/gleif.csv,7374330,42324,00:45:45.398324459,00:45:45.481068762
./aws-open-data/fast-ai-nlp.csv,1421,12,00:45:45.486934446,00:45:45.513175139
./aws-open-data/fmi-opendata-rcrhirlam-surface-grib.csv,28562730,140668,00:45:45.607897653,00:45:45.804682132
./aws-open-data/noaa-cdr-microwave-imager-brit-temp-csu-pds.csv,240282711,1213549,00:45:46.589046345,00:45:47.403952712
./aws-open-data/noaa-cdr-microwave-humidity-sounder-brit-temp-pds.csv,61730617,310693,00:45:47.603117257,00:45:47.884149218
./aws-open-data/noaa-ofs-pds.csv,46224816,303712,00:45:48.027715095,00:45:48.280040991
./aws-open-data/1000genomes.csv,86148617,477714,00:45:48.554922166,00:45:48.919820504
./aws-open-data/epa-rsei-pds.csv,267275,1730,00:45:48.927757324,00:45:48.955289614
./aws-open-data/gdc-fm-ad-phs001179-2-open.csv,30858,168,00:45:48.960897385,00:45:48.987265969
./aws-open-data/greenwichhr-covidjobimpacts.csv,1110,8,00:45:48.992419320,00:45:49.018391351
./aws-open-data/pacific-sound-2khz.csv,350012,2414,00:45:49.025604897,00:45:49.052965305
./aws-open-data/noaa-rtma-pds.csv,159266032,1098910,00:45:49.568030246,00:45:50.158530451
./aws-open-data/physionet-pds.csv,836,8,00:45:50.165567887,00:45:50.190599540
./aws-open-data/noaa-cdr-sea-surface-temp-whoi-pds.csv,2208214,12274,00:45:50.204644106,00:45:50.246561168
./aws-open-data/noaa-cdr-leaf-area-index-fapar-pds.csv,2809667,14933,00:45:50.260256121,00:45:50.304400722
./aws-open-data/sentinel-s2-l2a-mosaic-120.csv,58896536,441880,00:45:50.480389333,00:45:50.793343604
./aws-open-data/noaa-cdr-mean-layer-temp-lower-strat-pds.csv,1654,10,00:45:50.799433528,00:45:50.826185328
./aws-open-data/janelia-cosem-networks.csv,244175,1593,00:45:50.833032800,00:45:50.860832881
./aws-open-data/noaa-cdr-solar-spectral-irradiance-pds.csv,56032,307,00:45:50.867128630,00:45:50.893318028
./aws-open-data/pacific-sound-256khz-2019.csv,7141632,50650,00:45:50.922150801,00:45:51.008996974
./aws-open-data/noaa-nwm-pds.csv,146512183,841435,00:45:51.460382854,00:45:51.982775201
./aws-open-data/mwapublic.csv,95529771,685069,00:45:52.283995835,00:45:52.674575324
./aws-open-data/amazon-humor-patterns.csv,121,1,00:45:52.680549672,00:45:52.706141282
./aws-open-data/pre-post-purchase-questions.csv,252,2,00:45:52.711414959,00:45:52.736259872
./aws-open-data/noaa-cdr-total-solar-irradiance-pds.csv,54535,307,00:45:52.742726280,00:45:52.768405875
./aws-open-data/noaa-ghcn-pds.csv,60142,536,00:45:52.773915714,00:45:52.798850906
./aws-open-data/noaa-oar-keo-papa-pds.csv,3039,21,00:45:52.804696332,00:45:52.828493044
./aws-open-data/noaa-cdr-precip-nexrad-qpe-pds.csv,1312,9,00:45:52.834009565,00:45:52.859561732
./aws-open-data/nasa-iserv.csv,91339885,519774,00:45:53.152912904,00:45:53.511514649
./aws-open-data/deafrica-landsat-inventory.csv,1549249,7838,00:45:53.523782401,00:45:53.559873605
./aws-open-data/genomics-benchmark-datasets.csv,98341,491,00:45:53.565849446,00:45:53.591881230
./aws-open-data/gatk-test-data.csv,115382,656,00:45:53.597944203,00:45:53.623377738
./aws-open-data/avg-kitti.csv,298335,2124,00:45:53.629983016,00:45:53.657526538
./aws-open-data/threatenedspecies.csv,1808,12,00:45:53.663727450,00:45:53.688355608
./aws-open-data/cwbopendata.csv,129676,1139,00:45:53.695102171,00:45:53.722927080
./aws-open-data/lab41openaudiocorpus.csv,640,5,00:45:53.728324648,00:45:53.753526599
./aws-open-data/wrf-se-ak-ar5.csv,29251903,207336,00:45:53.850909737,00:45:54.067019658
./aws-open-data/noaa-ocs-nationalbathymetry-pds.csv,618181,3633,00:45:54.075274542,00:45:54.108492943
./aws-open-data/gdc-cgci-blgsp-phs000235-2-open.csv,282103,1346,00:45:54.116966055,00:45:54.146368485
./aws-open-data/afsis.csv,4948716,33093,00:45:54.166859844,00:45:54.229289327
./aws-open-data/noaa-cdr-ocean-heat-content-pds.csv,125788,778,00:45:54.235784900,00:45:54.263209109
./aws-open-data/humor-detection-pds.csv,478,4,00:45:54.268188566,00:45:54.295218006
./aws-open-data/sra-pub-metadata-us-east-1.csv,290708,1693,00:45:54.302196183,00:45:54.329417863
./aws-open-data/aev-autonomous-driving-dataset.csv,8523,53,00:45:54.334640564,00:45:54.378048128
./aws-open-data/spatial-ucr.csv,166508,1140,00:45:54.384291568,00:45:54.410379438
./aws-open-data/noaa-ufs-rnrmarine-pds.csv,28775,187,00:45:54.415647795,00:45:54.441531232
./aws-open-data/wrf-ak-ar5.csv,2630208,15308,00:45:54.457850584,00:45:54.501993663
./aws-open-data/noaa-cdr-radiances-and-cloud-properties-polar-orbiter-nasa-pds.csv,80093187,342540,00:45:54.818211272,00:45:55.162957387
./aws-open-data/aws-earth-mo-atmospheric-ukv-prd.csv,92560702,584185,00:45:55.475385559,00:45:55.942954402
./aws-open-data/noaa-cdr-precip-gpcp-daily-pds.csv,1514488,9292,00:45:55.954836663,00:45:55.990104137
./aws-open-data/noaa-cdr-sea-ice-concentration-pds.csv,4241140,24803,00:45:56.009178265,00:45:56.064082228
./aws-open-data/acoustic-sandbox.csv,123814430,547859,00:45:56.453240362,00:45:56.853393045
./aws-open-data/gdc-beataml1.0-crenolanib-phs001628-2-open.csv,371,2,00:45:56.859381179,00:45:56.884040035
./aws-open-data/fast-ai-coco.csv,1457,12,00:45:56.889558330,00:45:56.915097943
./aws-open-data/aws-roda-ml-datalake-us-east-1.csv,20531352,111497,00:45:56.993523545,00:45:57.142902601
./aws-open-data/radarsat-r1-l1-cog.csv,8877875,56140,00:45:57.191234900,00:45:57.298298704
./aws-open-data/deutsche-boerse-xetra-pds.csv,5587567,39055,00:45:57.322464438,00:45:57.394487591
./aws-open-data/fisheries-catch-data.csv,616,5,00:45:57.400332166,00:45:57.425201066
./aws-open-data/noaa-cdr-outgoing-longwave-radiation-daily-pds.csv,25360,140,00:45:57.431167048,00:45:57.455221173
./aws-open-data/deutsche-boerse-eurex-pds.csv,5668498,39473,00:45:57.478631934,00:45:57.558065633
./aws-open-data/wpto-pds-us-wave.csv,29443,193,00:45:57.564070698,00:45:57.589587669
./aws-open-data/pansurg-curation-final-curations-open-data.csv,885794,4268,00:45:57.599536033,00:45:57.630837026
./aws-open-data/giab.csv,19259757,83928,00:45:57.698068876,00:45:57.843491117
./aws-open-data/njogis-elevation.csv,45985009,279147,00:45:57.993339261,00:45:58.256847731
./aws-open-data/ncar-dart-cam6.csv,4907204,38280,00:45:58.279324965,00:45:58.346860644
./aws-open-data/noaa-cdr-mean-layer-temp-rss-pds.csv,10919,63,00:45:58.352945610,00:45:58.378375348
./aws-open-data/deafrica-input-datasets.csv,7084430,42591,00:45:58.406398479,00:45:58.483231483
./aws-open-data/fmi-opendata-rcrhirlam-pressure-grib.csv,11178091,55411,00:45:58.521643821,00:45:58.626812501
./aws-open-data/nrel-pds-nsrdb.csv,45780,319,00:45:58.632530499,00:45:58.669794750
./aws-open-data/copernicus-dem-30m.csv,167240921,872827,00:45:59.268811135,00:45:59.856361540
./aws-open-data/esa-worldcover.csv,421885,2662,00:45:59.865197031,00:45:59.893686375
./aws-open-data/copernicus-dem-90m.csv,167094979,873675,00:46:00.519920591,00:46:01.061367743
./aws-open-data/ncbi-blast-databases.csv,1364599,9523,00:46:01.072294195,00:46:01.107265177
./aws-open-data/noaa-bathymetry-pds.csv,40237273,236313,00:46:01.259611859,00:46:01.506544584
./aws-open-data/pass-summary-fewsum.csv,256,2,00:46:01.512395942,00:46:01.536673896
./aws-open-data/gdc-cptac-2-phs000892-2-open.csv,781662,3656,00:46:01.546343168,00:46:01.576730853
./aws-open-data/wikisum.csv,320,3,00:46:01.582174028,00:46:01.607256347
./aws-open-data/ont-open-data.csv,61592226,277532,00:46:01.815813691,00:46:02.095984726
