filename,filesize,lines,start,end
./measurements_cmdline_ingest.csv,55091,624,15:05:22.286806271,15:05:22.315992759
./aws-open-data/safecast-opendata-public-us-east-1.csv,74074,494,15:05:22.328279831,15:05:22.352850749
./aws-open-data/lofar-elais-n1.csv,3036783,21149,15:05:22.367910399,15:05:22.439205266
./aws-open-data/broad-references.csv,43179,262,15:05:22.445943195,15:05:22.471113415
./aws-open-data/noaa-cdr-microwave-imager-brit-temp-rss-pds.csv,79616699,411122,15:05:22.692590809,15:05:23.287733971
./aws-open-data/mur-sst.csv,97748394,828977,15:05:23.555305411,15:05:24.383921148
./aws-open-data/pacific-sound-256khz-2017.csv,7347940,52107,15:05:24.410127273,15:05:24.492073584
./aws-open-data/noaa-cdr-precip-gpcp-monthly-pds.csv,89141,540,15:05:24.499136406,15:05:24.524276157
./aws-open-data/molssi-bioexcel-covid-19-structure-therapeutics-hub.csv,58487,306,15:05:24.530914367,15:05:24.557775569
./aws-open-data/openalex-mag-format.csv,9245,56,15:05:24.569261927,15:05:24.622614174
./aws-open-data/gdc-hcmi-cmdc-phs001486-2-open.csv,624099,2937,15:05:24.636510153,15:05:24.667164252
./aws-open-data/answer-reformulation-pds.csv,258,2,15:05:24.673187920,15:05:24.696973583
./aws-open-data/sra-pub-src-1.csv,46263002,268784,15:05:24.832479893,15:05:25.146878917
./aws-open-data/ibl-brain-wide-map-public.csv,5170304,22938,15:05:25.167525499,15:05:25.227237727
./aws-open-data/noaa-nclimgrid-daily-pds.csv,6019639,39285,15:05:25.248257393,15:05:25.317145605
./aws-open-data/sevir.csv,21328,143,15:05:25.323515036,15:05:25.348228811
./aws-open-data/noaa-nws-uwpd-cmip5-pds.csv,21662588,141027,15:05:25.411304992,15:05:25.576315952
./aws-open-data/deafrica-services-inventory.csv,914291,4565,15:05:25.589433271,15:05:25.681549691
./aws-open-data/noaa-cdr-cloud-properties-polar-orbiter-nasa-pds.csv,2552,15,15:05:25.825711496,15:05:26.005679249
./aws-open-data/noaa-ufs-srw-pds.csv,120538,825,15:05:26.041291179,15:05:26.136700645
./aws-open-data/web-language-models.csv,1693088,11948,15:05:26.189977003,15:05:26.328604948
./aws-open-data/noaa-cdr-ir-water-vapor-brit-temp-pds.csv,11136,57,15:05:26.377987070,15:05:26.519588743
./aws-open-data/terrafusiondatasampler.csv,841284,5058,15:05:26.588364830,15:05:26.630412577
./aws-open-data/landsat-pds.csv,210,2,15:05:26.642354825,15:05:26.667385619
./aws-open-data/pansurg-curation-workflo-kendraqueryresults50d0eb-open-data.csv,2202992,8251,15:05:26.678975180,15:05:26.714841912
./aws-open-data/amazon-pqa.csv,13024,102,15:05:26.720870239,15:05:26.745339132
./aws-open-data/pacific-sound-256khz-2016.csv,6995035,49567,15:05:26.767988675,15:05:26.843965534
./aws-open-data/omi-no2-nasa.csv,853849,5693,15:05:26.853440913,15:05:26.885053178
./aws-open-data/noaa-cdr-snow-cover-ext-north-pds.csv,2456,16,15:05:26.892554688,15:05:26.924500373
./aws-open-data/sondehub-history.csv,109573453,849773,15:05:27.247693827,15:05:28.232149615
./aws-open-data/gdc-nciccr-phs001444-2-open.csv,497693,2407,15:05:28.242540802,15:05:28.271938741
./aws-open-data/human-microbiome-project.csv,13929698,85375,15:05:28.318853820,15:05:28.433813917
./aws-open-data/noaa-nclimgrid-monthly-pds.csv,638,5,15:05:28.440189971,15:05:28.471024484
./aws-open-data/cbers-meta-pds.csv,229891406,1226157,15:05:29.068061614,15:05:30.590542878
./aws-open-data/gatk-sv-data-us-east-2.csv,1508590,6998,15:05:30.613058496,15:05:30.662379724
./aws-open-data/ltrf-cqa-dataset.csv,228,2,15:05:30.674827615,15:05:30.726405026
./aws-open-data/deafrica-input-datasets-inventory.csv,555275,2657,15:05:30.736647141,15:05:30.784009490
./aws-open-data/covers-song-br.csv,13030641,102299,15:05:30.825066990,15:05:30.955508680
./aws-open-data/cse-cic-ids2018.csv,7139,42,15:05:30.961609713,15:05:30.985917646
./aws-open-data/inlab-opendata-covid-anonymized-images.csv,488644,2771,15:05:30.994216963,15:05:31.022743984
./aws-open-data/oicr.icgc.meta.csv,5800986,41314,15:05:31.043806657,15:05:31.114731839
./aws-open-data/tcga-2-open.csv,237589251,1360150,15:05:31.852588436,15:05:33.741370748
./aws-open-data/covid19-harmonized-dataset.csv,762420,4712,15:05:33.812001848,15:05:33.847362765
./aws-open-data/tiger-training.csv,1255279,5633,15:05:33.857278382,15:05:33.890425767
./aws-open-data/noaa-cdr-cloud-properties-isccp-pds.csv,64535117,305431,15:05:34.062850764,15:05:34.408963831
./aws-open-data/gbif-open-data-af-south-1.csv,2210295,13817,15:05:34.422214677,15:05:34.467262346
./aws-open-data/ncar-na-cordex.csv,57213915,373052,15:05:34.624373776,15:05:35.015316230
./aws-open-data/sra-pub-sars-cov2-metadata-us-east-1.csv,149374,848,15:05:35.022449773,15:05:35.048817701
./aws-open-data/lowcontext-ner-gaz.csv,807,7,15:05:35.054905268,15:05:35.079831094
./aws-open-data/qiime2-data.csv,339834,2360,15:05:35.089469988,15:05:35.127408980
./aws-open-data/gdc-ctsp-phs001175-2-open.csv,53818,273,15:05:35.137577665,15:05:35.173819020
./aws-open-data/ocmr.csv,32388,289,15:05:35.182111601,15:05:35.227700812
./aws-open-data/nrel-pds-wtk.csv,75182669,536347,15:05:35.513172598,15:05:37.776283656
./aws-open-data/pyfr-mtu-t161-dns-data.csv,16572,116,15:05:37.813693605,15:05:37.896395270
./aws-open-data/aws-roda-ml-datalake.csv,10130173,61507,15:05:37.964616087,15:05:38.230607221
./aws-open-data/deafrica-sentinel-1-inventory.csv,676684,3343,15:05:38.260982915,15:05:38.358191553
./aws-open-data/deafrica-sentinel-2-inventory.csv,63406638,301950,15:05:38.612947717,15:05:39.607099733
./aws-open-data/noaa-cdr-precip-cmorph-pds.csv,76466822,429541,15:05:39.898833798,15:05:40.807705879
./aws-open-data/noaa-ufs-regtests-pds.csv,5535140,32743,15:05:40.829119206,15:05:40.889017789
./aws-open-data/code-mixed-ner.csv,5058,38,15:05:40.895137656,15:05:40.919669622
./aws-open-data/pacific-sound-256khz-2015.csv,2956717,20975,15:05:40.933471226,15:05:40.982718095
./aws-open-data/datasets.elasticmapreduce.csv,24593,172,15:05:40.988814827,15:05:41.014023482
./aws-open-data/czb-opencell.csv,2461558,12603,15:05:41.033054941,15:05:41.073325667
./aws-open-data/civic-aws-opendata.csv,5932,38,15:05:41.079198577,15:05:41.112038070
./aws-open-data/aws-open-data-uniprot-rdf.csv,559069,3163,15:05:41.146093129,15:05:41.175842146
./aws-open-data/gatk-sv-data-us-east-1.csv,1508590,6998,15:05:41.186561118,15:05:41.222022321
./aws-open-data/gdc-beataml1-cohort-phs001657-2-open.csv,550290,2550,15:05:41.231023810,15:05:41.259512787
./aws-open-data/noaa-ufs-prototypes-pds.csv,139571411,768998,15:05:41.616599591,15:05:42.472805319
./aws-open-data/arpa-e-perform.csv,4537081,23572,15:05:42.494619802,15:05:42.547547387
./aws-open-data/gdc-ccle-2-open.csv,1108318,6365,15:05:42.569798675,15:05:42.621174520
./aws-open-data/pacific-sound-256khz-2021.csv,7089611,50281,15:05:42.703590089,15:05:43.087605985
./aws-open-data/human-pangenomics.csv,42773736,177795,15:05:43.328425164,15:05:44.115846995
./aws-open-data/noaa-normals-pds.csv,21675509,148921,15:05:44.177933100,15:05:44.346170335
./aws-open-data/ford-multi-av-seasonal.csv,44246,278,15:05:44.352612229,15:05:44.377742892
