filename,filesize,lines,start,end
./measurements_cmdline_ingest.csv,55091,624,17:13:37.745847083,17:13:37.769104930
./aws-open-data/safecast-opendata-public-us-east-1.csv,74074,494,17:13:37.781070181,17:13:37.806318105
./aws-open-data/lofar-elais-n1.csv,3036783,21149,17:13:37.823731327,17:13:37.874589475
./aws-open-data/broad-references.csv,43179,262,17:13:37.880640839,17:13:37.906538013
./aws-open-data/noaa-cdr-microwave-imager-brit-temp-rss-pds.csv,79616699,411122,17:13:38.195898952,17:13:38.671377480
./aws-open-data/mur-sst.csv,97748394,828977,17:13:39.050809514,17:13:39.806992672
./aws-open-data/pacific-sound-256khz-2017.csv,7347940,52107,17:13:39.843672460,17:13:39.926617839
./aws-open-data/noaa-cdr-precip-gpcp-monthly-pds.csv,89141,540,17:13:39.933224046,17:13:39.959570728
./aws-open-data/molssi-bioexcel-covid-19-structure-therapeutics-hub.csv,58487,306,17:13:39.965456772,17:13:39.992255843
./aws-open-data/openalex-mag-format.csv,9245,56,17:13:40.000612357,17:13:40.026164769
./aws-open-data/gdc-hcmi-cmdc-phs001486-2-open.csv,624099,2937,17:13:40.035496505,17:13:40.066355293
./aws-open-data/answer-reformulation-pds.csv,258,2,17:13:40.071907431,17:13:40.096572395
./aws-open-data/sra-pub-src-1.csv,46263002,268784,17:13:40.263248088,17:13:40.561269298
./aws-open-data/ibl-brain-wide-map-public.csv,5170304,22938,17:13:40.587820255,17:13:40.639712667
./aws-open-data/noaa-nclimgrid-daily-pds.csv,6019639,39285,17:13:40.669362715,17:13:40.731772500
./aws-open-data/sevir.csv,21328,143,17:13:40.737772439,17:13:40.762344980
./aws-open-data/noaa-nws-uwpd-cmip5-pds.csv,21662588,141027,17:13:40.849513356,17:13:41.000785388
./aws-open-data/deafrica-services-inventory.csv,914291,4565,17:13:41.010961661,17:13:41.045869687
./aws-open-data/noaa-cdr-cloud-properties-polar-orbiter-nasa-pds.csv,2552,15,17:13:41.052476125,17:13:41.103422914
./aws-open-data/noaa-ufs-srw-pds.csv,120538,825,17:13:41.121859723,17:13:41.151796681
./aws-open-data/web-language-models.csv,1693088,11948,17:13:41.170504608,17:13:41.208069273
./aws-open-data/noaa-cdr-ir-water-vapor-brit-temp-pds.csv,11136,57,17:13:41.214748448,17:13:41.238736824
./aws-open-data/terrafusiondatasampler.csv,841284,5058,17:13:41.249197030,17:13:41.292349370
./aws-open-data/landsat-pds.csv,210,2,17:13:41.299149913,17:13:41.322806465
./aws-open-data/pansurg-curation-workflo-kendraqueryresults50d0eb-open-data.csv,2202992,8251,17:13:41.337157620,17:13:41.372787972
./aws-open-data/amazon-pqa.csv,13024,102,17:13:41.378069041,17:13:41.402002132
./aws-open-data/pacific-sound-256khz-2016.csv,6995035,49567,17:13:41.433115350,17:13:41.510182850
./aws-open-data/omi-no2-nasa.csv,853849,5693,17:13:41.519841772,17:13:41.555158394
./aws-open-data/noaa-cdr-snow-cover-ext-north-pds.csv,2456,16,17:13:41.565472476,17:13:41.603022163
./aws-open-data/sondehub-history.csv,109573453,849773,17:13:42.047584644,17:13:42.872693808
./aws-open-data/gdc-nciccr-phs001444-2-open.csv,497693,2407,17:13:42.883186356,17:13:42.914681623
./aws-open-data/human-microbiome-project.csv,13929698,85375,17:13:42.991929888,17:13:43.101120126
./aws-open-data/noaa-nclimgrid-monthly-pds.csv,638,5,17:13:43.106824642,17:13:43.131331554
./aws-open-data/cbers-meta-pds.csv,229891406,1226157,17:13:43.962305771,17:13:45.159657323
./aws-open-data/gatk-sv-data-us-east-2.csv,1508590,6998,17:13:45.173964437,17:13:45.206859010
./aws-open-data/ltrf-cqa-dataset.csv,228,2,17:13:45.212692418,17:13:45.236061676
./aws-open-data/deafrica-input-datasets-inventory.csv,555275,2657,17:13:45.245108171,17:13:45.271473518
./aws-open-data/covers-song-br.csv,13030641,102299,17:13:45.326955771,17:13:45.445598730
./aws-open-data/cse-cic-ids2018.csv,7139,42,17:13:45.451688310,17:13:45.475543882
./aws-open-data/inlab-opendata-covid-anonymized-images.csv,488644,2771,17:13:45.483515607,17:13:45.517480189
./aws-open-data/oicr.icgc.meta.csv,5800986,41314,17:13:45.544257690,17:13:45.616018773
./aws-open-data/tcga-2-open.csv,237589251,1360150,17:13:46.519665960,17:13:48.128971333
./aws-open-data/covid19-harmonized-dataset.csv,762420,4712,17:13:48.169439440,17:13:48.200023187
./aws-open-data/tiger-training.csv,1255279,5633,17:13:48.211795554,17:13:48.244925074
./aws-open-data/noaa-cdr-cloud-properties-isccp-pds.csv,64535117,305431,17:13:48.492203583,17:13:48.821929195
./aws-open-data/gbif-open-data-af-south-1.csv,2210295,13817,17:13:48.836613762,17:13:48.876358550
./aws-open-data/ncar-na-cordex.csv,57213915,373052,17:13:49.101682391,17:13:49.492428136
./aws-open-data/sra-pub-sars-cov2-metadata-us-east-1.csv,149374,848,17:13:49.499171876,17:13:49.523622833
./aws-open-data/lowcontext-ner-gaz.csv,807,7,17:13:49.528722313,17:13:49.550971585
./aws-open-data/qiime2-data.csv,339834,2360,17:13:49.558487515,17:13:49.600025415
./aws-open-data/gdc-ctsp-phs001175-2-open.csv,53818,273,17:13:49.611280840,17:13:49.635526412
./aws-open-data/ocmr.csv,32388,289,17:13:49.641279901,17:13:49.665835425
./aws-open-data/nrel-pds-wtk.csv,75182669,536347,17:13:49.932453214,17:13:50.492283098
./aws-open-data/pyfr-mtu-t161-dns-data.csv,16572,116,17:13:50.503311960,17:13:50.535145900
./aws-open-data/aws-roda-ml-datalake.csv,10130173,61507,17:13:50.581990162,17:13:50.671705491
./aws-open-data/deafrica-sentinel-1-inventory.csv,676684,3343,17:13:50.684869063,17:13:50.719296916
./aws-open-data/deafrica-sentinel-2-inventory.csv,63406638,301950,17:13:50.945302400,17:13:51.363531179
./aws-open-data/noaa-cdr-precip-cmorph-pds.csv,76466822,429541,17:13:51.654006910,17:13:52.174390471
./aws-open-data/noaa-ufs-regtests-pds.csv,5535140,32743,17:13:52.211322615,17:13:52.302850080
./aws-open-data/code-mixed-ner.csv,5058,38,17:13:52.315755569,17:13:52.352054432
./aws-open-data/pacific-sound-256khz-2015.csv,2956717,20975,17:13:52.377692014,17:13:52.438778152
./aws-open-data/datasets.elasticmapreduce.csv,24593,172,17:13:52.451818855,17:13:52.483048133
./aws-open-data/czb-opencell.csv,2461558,12603,17:13:52.496399529,17:13:52.541149271
./aws-open-data/civic-aws-opendata.csv,5932,38,17:13:52.547311100,17:13:52.579711428
./aws-open-data/aws-open-data-uniprot-rdf.csv,559069,3163,17:13:52.618237887,17:13:52.646601631
./aws-open-data/gatk-sv-data-us-east-1.csv,1508590,6998,17:13:52.661373527,17:13:52.693351352
./aws-open-data/gdc-beataml1-cohort-phs001657-2-open.csv,550290,2550,17:13:52.701575765,17:13:52.729523267
./aws-open-data/noaa-ufs-prototypes-pds.csv,139571411,768998,17:13:53.254264966,17:13:54.044221057
./aws-open-data/arpa-e-perform.csv,4537081,23572,17:13:54.068398047,17:13:54.120959625
./aws-open-data/gdc-ccle-2-open.csv,1108318,6365,17:13:54.132745491,17:13:54.168996209
./aws-open-data/pacific-sound-256khz-2021.csv,7089611,50281,17:13:54.201334495,17:13:54.278928781
./aws-open-data/human-pangenomics.csv,42773736,177795,17:13:54.435969593,17:13:54.657435093
./aws-open-data/noaa-normals-pds.csv,21675509,148921,17:13:54.737533565,17:13:54.903156002
./aws-open-data/ford-multi-av-seasonal.csv,44246,278,17:13:54.908956572,17:13:54.937949231
./aws-open-data/pacific-sound-256khz-2018.csv,7312747,51786,17:13:54.968684274,17:13:55.051341937
./aws-open-data/noaa-cdr-precip-persiann-pds.csv,2321348,14248,17:13:55.068961107,17:13:55.110288115
./aws-open-data/noaa-eri-pds.csv,27494541,178168,17:13:55.218494511,17:13:55.408963249
./aws-open-data/intelinair-data-releases.csv,9435948,51546,17:13:55.452203563,17:13:55.528778939
./aws-open-data/gdelt-open-data.csv,57666873,432832,17:13:55.738324204,17:13:56.138485092
./aws-open-data/ai2-public-datasets.csv,10753,77,17:13:56.145152080,17:13:56.168832481
./aws-open-data/gdc-cptac-phs001287-2-open.csv,3684151,17354,17:13:56.190169507,17:13:56.237620898
./aws-open-data/stoic2021-training.csv,247589,2003,17:13:56.244440144,17:13:56.269926938
./aws-open-data/fashionlocaltriplets.csv,495875,4246,17:13:56.279084527,17:13:56.306567222
./aws-open-data/noaa-swdi-pds.csv,57788,506,17:13:56.312562078,17:13:56.335642691
./aws-open-data/daylight-openstreetmap.csv,199754,900,17:13:56.343658174,17:13:56.367825839
./aws-open-data/archive-orcasound-net.csv,422299,2442,17:13:56.376178417,17:13:56.406949071
./aws-open-data/srsp-open-data.csv,7193104,45085,17:13:56.438558521,17:13:56.510956412
./aws-open-data/4dn-open-data-public.csv,9481566,50015,17:13:56.548540030,17:13:56.635647272
./aws-open-data/napierone.com.csv,101300,729,17:13:56.643449484,17:13:56.671551262
./aws-open-data/fmi-opendata-silam-surface-netcdf.csv,218202,1281,17:13:56.678572697,17:13:56.703006373
./aws-open-data/amazon-berkeley-objects.csv,194739130,1391747,17:13:57.404714522,17:13:58.642021445
./aws-open-data/bdc-cbers.csv,14337550,89577,17:13:58.703668139,17:13:58.816353662
./aws-open-data/opencitymodel.csv,11031871,57635,17:13:58.865680504,17:13:58.949310362
./aws-open-data/dmspssj.csv,786688,4318,17:13:58.958647660,17:13:58.993284925
./aws-open-data/pacific-sound-models.csv,1274,8,17:13:58.999678541,17:13:59.024779505
./aws-open-data/sentinel-1-global-coherence-earthbigdata.csv,173222636,1034377,17:13:59.668882889,17:14:00.725514902
./aws-open-data/rapid-nrt-flood-maps.csv,60913868,332676,17:14:00.963079805,17:14:01.341664049
./aws-open-data/gleif.csv,7374330,42324,17:14:01.377482280,17:14:01.450003765
./aws-open-data/fast-ai-nlp.csv,1421,12,17:14:01.455141692,17:14:01.479047705
./aws-open-data/fmi-opendata-rcrhirlam-surface-grib.csv,28562730,140668,17:14:01.593221085,17:14:01.777944587
./aws-open-data/noaa-cdr-microwave-imager-brit-temp-csu-pds.csv,240282711,1213549,17:14:02.647596735,17:14:03.934412568
./aws-open-data/noaa-cdr-microwave-humidity-sounder-brit-temp-pds.csv,61730617,310693,17:14:04.163278715,17:14:04.502607162
./aws-open-data/noaa-ofs-pds.csv,46224816,303712,17:14:04.666098016,17:14:04.955766007
./aws-open-data/1000genomes.csv,86148617,477714,17:14:05.295866092,17:14:05.790623651
./aws-open-data/epa-rsei-pds.csv,267275,1730,17:14:05.797099434,17:14:05.823322507
./aws-open-data/gdc-fm-ad-phs001179-2-open.csv,30858,168,17:14:05.828341111,17:14:05.852859110
./aws-open-data/greenwichhr-covidjobimpacts.csv,1110,8,17:14:05.857425132,17:14:05.880863451
./aws-open-data/pacific-sound-2khz.csv,350012,2414,17:14:05.888741770,17:14:05.914777090
./aws-open-data/noaa-rtma-pds.csv,159266032,1098910,17:14:06.468845179,17:14:07.577044307
./aws-open-data/physionet-pds.csv,836,8,17:14:07.582718974,17:14:07.606907796
./aws-open-data/noaa-cdr-sea-surface-temp-whoi-pds.csv,2208214,12274,17:14:07.620467207,17:14:07.666914011
./aws-open-data/noaa-cdr-leaf-area-index-fapar-pds.csv,2809667,14933,17:14:07.682530589,17:14:07.728336529
./aws-open-data/sentinel-s2-l2a-mosaic-120.csv,58896536,441880,17:14:07.952192263,17:14:08.399360064
./aws-open-data/noaa-cdr-mean-layer-temp-lower-strat-pds.csv,1654,10,17:14:08.405635901,17:14:08.429504383
./aws-open-data/janelia-cosem-networks.csv,244175,1593,17:14:08.436725739,17:14:08.461719485
./aws-open-data/noaa-cdr-solar-spectral-irradiance-pds.csv,56032,307,17:14:08.468784558,17:14:08.492095692
./aws-open-data/pacific-sound-256khz-2019.csv,7141632,50650,17:14:08.523566124,17:14:08.601941597
./aws-open-data/noaa-nwm-pds.csv,146512183,841435,17:14:09.117381864,17:14:09.970580437
./aws-open-data/mwapublic.csv,95529771,685069,17:14:10.324704833,17:14:10.962430723
./aws-open-data/amazon-humor-patterns.csv,121,1,17:14:10.968056911,17:14:10.993566260
./aws-open-data/pre-post-purchase-questions.csv,252,2,17:14:10.999024212,17:14:11.022833906
./aws-open-data/noaa-cdr-total-solar-irradiance-pds.csv,54535,307,17:14:11.028508516,17:14:11.051565626
./aws-open-data/noaa-ghcn-pds.csv,60142,536,17:14:11.057594722,17:14:11.080718778
./aws-open-data/noaa-oar-keo-papa-pds.csv,3039,21,17:14:11.085906140,17:14:11.111003346
./aws-open-data/noaa-cdr-precip-nexrad-qpe-pds.csv,1312,9,17:14:11.116415081,17:14:11.140305990
./aws-open-data/nasa-iserv.csv,91339885,519774,17:14:11.469232173,17:14:11.992499855
./aws-open-data/deafrica-landsat-inventory.csv,1549249,7838,17:14:12.006117589,17:14:12.040530291
./aws-open-data/genomics-benchmark-datasets.csv,98341,491,17:14:12.046650738,17:14:12.070025307
./aws-open-data/gatk-test-data.csv,115382,656,17:14:12.090521584,17:14:12.114256851
./aws-open-data/avg-kitti.csv,298335,2124,17:14:12.121338065,17:14:12.148404595
./aws-open-data/threatenedspecies.csv,1808,12,17:14:12.154018280,17:14:12.178282782
./aws-open-data/cwbopendata.csv,129676,1139,17:14:12.184382451,17:14:12.217580570
./aws-open-data/lab41openaudiocorpus.csv,640,5,17:14:12.237994883,17:14:12.263098351
./aws-open-data/wrf-se-ak-ar5.csv,29251903,207336,17:14:12.369286516,17:14:12.596276560
./aws-open-data/noaa-ocs-nationalbathymetry-pds.csv,618181,3633,17:14:12.609358517,17:14:12.637674847
./aws-open-data/gdc-cgci-blgsp-phs000235-2-open.csv,282103,1346,17:14:12.648128121,17:14:12.674165786
./aws-open-data/afsis.csv,4948716,33093,17:14:12.699290255,17:14:12.756171754
./aws-open-data/noaa-cdr-ocean-heat-content-pds.csv,125788,778,17:14:12.762417286,17:14:12.787466103
./aws-open-data/humor-detection-pds.csv,478,4,17:14:12.792416360,17:14:12.816422977
./aws-open-data/sra-pub-metadata-us-east-1.csv,290708,1693,17:14:12.823698937,17:14:12.849734509
